अफ्रीका	アフリカ
ई.पू. १३५	紀元前135年
ई.पू. १२८	紀元前128年
ई.पू. २७०	紀元前270年
कामसूत्र	カーマ・スートラ
ई.पू. २८७	紀元前287年
ई.पू. २१६	紀元前216年
ई.पू. ३००	紀元前300年
संयुक्त राष्ट्र महासभा	国際連合総会
ई.पू. १५८	紀元前158年
ई.पू. १२७	紀元前127年
ई.पू. ११७	紀元前117年
ई.पू. १५३	紀元前153年
ई.पू. १२५	紀元前125年
ई.पू. १०८	紀元前108年
ई.पू. १२४	紀元前124年
स्वामी विवेकानन्द	ヴィヴェーカーナンダ
गाजा शहर	ガザ
अन्तर्राष्ट्रिय श्रमिक दिवस	メーデー
मातृ दिवस	母の日
कम्पाइलर	コンパイラ
खोला	渓流
ई.पू. २२१	紀元前221年
भिक्टर भ्यालडेस	ビクトル・バルデス
बिजुली बत्ती	電球
ई.पू. २३०	紀元前230年
ई.पू. २९५	紀元前295年
ई.पू. २७६	紀元前276年
ई.पू. २०४	紀元前204年
ई.पू. २८८	紀元前288年
भेनस (देवी)	ウェヌス
कालाहारी मरुभूमि	カラハリ砂漠
डाउन सिन्ड्रोम	ダウン症候群
इङ्ल्यान्ड राष्ट्रिय फुटबल टिम	サッカーイングランド代表
फ्रान्स राष्ट्रिय फुटबल टिम	サッカーフランス代表
उत्तर आधुनिकतावाद	ポストモダン
प्रतिभा पाटिल	プラティバ・パティル
ग्रीन डे	グリーン・デイ
तास (खेल)	トランプ
एकसिंगे गैंडा	インドサイ
फोक्सो क्यान्सर	肺癌
लखनऊ	ラクナウ
ढाँचा:Commonscat	Template:Commonscat
ई.पू. २९७	紀元前297年
ई.पू. ३३०	紀元前330年
अलेक्सान्दार केरेन्स्की	アレクサンドル・ケレンスキー
ई.पू. २९३	紀元前293年
फेडोरा परियोजना	Fedora
अन्तर्राष्ट्रिय प्रकृति संरक्षण संघ	国際自然保護連合
ई.पू. ३२०	紀元前320年
विद्यार्थी	在籍者 (学習者)
सिएनएन	CNN
महायान	大乗仏教
ई.पू. ३१०	紀元前310年
ई.पू. ३२६	紀元前326年
ई.पू. ४९०	紀元前490年
ई.पू. २८५	紀元前285年
अमृतसर	アムリトサル
अङ्ग	死体
१९३० फिफा विश्वकप	1930 FIFAワールドカップ
सखारोभ पुरस्कार	サハロフ賞
पर्दा	カーテン
पेन्टी	パンティー
पर्यटन	観光
सन् २०२५	2025年
सन् २०२४	2024年
सन् २०२३	2023年
सन् २०२२	2022年
सन् २०२१	2021年
जर्मन सामाजिक-जनवादी पार्टी	ドイツ社会民主党
राष्ट्रपतीय शासन प्रणाली	大統領制
सन् २०४१	2041年
सन् २०४२	2042年
सन् २०४३	2043年
सन् २०४४	2044年
सन् २०४५	2045年
सन् २०४६	2046年
सन् २०४७	2047年
सन् २०४८	2048年
सन् २०४९	2049年
सन् २०५०	2050年
सन् २०५१	2051年
सन् २०५२	2052年
सन् २०५३	2053年
सन् २०५४	2054年
सन् २०५५	2055年
सन् २०५६	2056年
सन् २०५७	2057年
सन् २०५८	2058年
सन् २०५९	2059年
इलोना स्टालर	シュターッレル・イロナ
विजय	勝利
रातो दानव तारा	赤色巨星
चीनिया प्रान्त	中華人民共和国の行政区分
म्यानचेस्टर सिटी	マンチェスター・シティFC
पार्क जि-सुङ	朴智星
वर्ग फलन	二次関数
जोन हवार्ड	ジョン・ハワード
एम्पीयरको नियम	アンペールの法則
माक्सवेल समीकरण	マクスウェルの方程式
एयर चाइना	中国国際航空
इबोला	エボラ出血熱
बुर्जुवा	ブルジョワジー
शेख हसिना	シェイク・ハシナ
ढाँचा:Chembox	Template:Chembox
ढाँचा:Infobox element	Template:元素
ढाँचा:Infobox mineral	Template:Infobox 鉱物
ढाँचा:Taxobox	Template:生物分類表
रक्तदान	献血
यालमार ब्रांतिंग	カール・ヤルマール・ブランティング
भ्यागुतो	カエル
सामी केडिरा	サミ・ケディラ
अन्तर्राष्ट्रिय श्रम संगठन	国際労働機関
क्रिस हेम्सवर्थ	クリス・ヘムズワース
कण्ठे ढुकुर	シラコバト
जाँठा	陰毛
सुनिता विलियम्स	スニータ・ウィリアムズ
राज कपूर	ラージ・カプール
मोजिला फाउन्डेसन	Mozilla Foundation
अल्बाट्रोस	アホウドリ科
श्रेणी:सेनाको पद-संरचना	軍隊の階級
किम जोङ उन	金正恩
महिन्दा राजपाक्ष	マヒンダ・ラージャパクサ
जिग्मे खेसर नामग्याल वाङचुक	ジグミ・ケサル・ナムゲル・ワンチュク
रामवरण यादव	ラムバラン・ヤーダブ
प्रणब मुखर्जी	プラナブ・ムカルジー
बाबुराम भट्टराई	バブラム・バッタライ
झलनाथ खनाल	ジャラ・ナト・カナル
इबे	EBay
लियाम निसन	リーアム・ニーソン
पञ्जाबी भाषा	パンジャーブ語
बँदेल	イノシシ
मृत्युदर	死亡率
अरब सागर	アラビア海
धर्म इतर	無宗教
दक्षिण अमेरिकी फुटबल संघ	南米サッカー連盟
जलरङ्क	オジロトウネン
श्वेत जलरङ्क	ミユビシギ
जेरी	ジャレビ
अरविन्द केजरीवाल	アルヴィンド・ケジリワル
माइकल बे	マイケル・ベイ
गोदावरी फूल	キク属
रजनीकान्त	ラジニカーント
नेपालका राजाहरूको सूची	ネパールの国王
भारतीय उपमहाद्वीप	インド亜大陸
रिले स्टील	ライリー・スティール
इक्थ्योलोजी	魚類学
चन्द्रशेखर वेङ्कट रामन	チャンドラセカール・ラマン
नमस्ते	ナマステ
छद्मनाम	偽名
त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल	トリブバン国際空港
लातूर	ラートゥール
आइफोन फाइभ	IPhone 5
भारतिय निलो मयूर	インドクジャク
आँसीठुँडे जलरङ्क	サルハマシギ
जे–जी (गायक)	ジェイ・Z
हल्क	ジヴァニウド・ヴィエイラ・ジ・ソウザ
शंख	巻貝
ब्यारेन्क्विला	バランキージャ
मौर्य साम्राज्य	マウリヤ朝
आयात	輸入
एनालग कम्प्युटर	アナログ計算機
विनिमयदर	為替レート
हेनरी किसिन्जर	ヘンリー・キッシンジャー
केन्द्रीय बैंक	中央銀行
जयपुर	ジャイプル
दमन र दीव	ダマン・ディーウ連邦直轄領
पुदुच्चेरी	ポンディシェリ連邦直轄領
फिलिप शाइडमान	フィリップ・シャイデマン
रबर्ड बन्सन	ローベルト・ブンゼン
पोताला दरबार	ポタラ宮
ब्रुक्लिन ली	ブルックリン・リー
समुन्द्री घोडा	タツノオトシゴ
सजीवन	ナンヨウアブラギリ
जिल्ला अदालत	地方裁判所
ई.पू. २१७	紀元前217年
ई.पू. २२७	紀元前227年
ई.पू. २८२	紀元前282年
ई.पू. २७९	紀元前279年
ई.पू. ४०४	紀元前404年
ई.पू. ३२१	紀元前321年
ई.पू. ३६०	紀元前360年
