आफ्रिकाखण्डः	アフリカ
१७१८	1718年
१६४०	1640年
१७१९	1719年
१८०६	1806年
१६४१	1641年
१७२०	1720年
१८०७	1807年
१६४२	1642年
१७२१	1721年
१८०८	1808年
१६४३	1643年
१७२२	1722年
१८०९	1809年
१६४४	1644年
१७२३	1723年
१८१०	1810年
१६४५	1645年
१७२४	1724年
१८११	1811年
१६४६	1646年
१७२५	1725年
१८१२	1812年
१६४७	1647年
१७२६	1726年
१८१३	1813年
१६४८	1648年
१७२७	1727年
१८१४	1814年
१६४९	1649年
१७२८	1728年
१८१५	1815年
१६५०	1650年
१७२९	1729年
१८१६	1816年
१६५१	1651年
१७३०	1730年
१८१७	1817年
१६५२	1652年
१७३१	1731年
१८१८	1818年
१६५३	1653年
१७३२	1732年
१८१९	1819年
१६५४	1654年
१७३३	1733年
१८२०	1820年
१६५५	1655年
१८२१	1821年
१७३४	1734年
१६५६	1656年
१८२२	1822年
१७३५	1735年
१६५७	1657年
१८२३	1823年
१७३६	1736年
१६५८	1658年
१७३७	1737年
१८२४	1824年
१६५९	1659年
१७३८	1738年
१८२५	1825年
१६६०	1660年
१७३९	1739年
१८२६	1826年
१६६१	1661年
१७४०	1740年
१८२७	1827年
कालिदासः	カーリダーサ
नील्स बोह्र	ニールス・ボーア
परिसरविज्ञानम्	生態学
राजनीतिः	政治
प्रजातन्त्रम्	民主主義
विश्व रेड्क्रास दिनम्	赤十字社
मेरी क्यूरी	マリ・キュリー
नोबेल् प्रशस्तिः	ノーベル賞
एलिजबेथ् प्रथमा	エリザベス1世
रोजा लक्जेम्बर्ग	ローザ・ルクセンブルク
रवीन्द्रनाथ ठाकुरः	ラビンドラナート・タゴール
एलेन ट्यूरिंग	アラン・チューリング
बाड्मिण्टन्-क्रीडा	バドミントン
गुस्तावः मालेरः	グスタフ・マーラー
नात्सी पार्टी	国家社会主義ドイツ労働者党
सिन्धूनदी	インダス川
दक्षिणध्रुवीयमहासागरः	南極海
हुआंग हे नदी	黄河
कर्णः	耳
नासिका	鼻
अक्षि	目
एल्फ़्रेड हिचकॉक	アルフレッド・ヒッチコック
सस्तनः	哺乳類
गजः	ゾウ
आण्ड्रे अगास्सि	アンドレ・アガシ
डच भाषा	オランダ語
मार्गरेट थाचर	マーガレット・サッチャー
डारोति क्रोफट् हाज्किन्	ドロシー・ホジキン
पुष्पशाकम्	カリフラワー
वृन्ताकः	ナス
इंगमार बर्गमान	イングマール・ベルイマン
माता	母親
१८२८	1828年
१८२९	1829年
१७४१	1741年
१६६२	1662年
१७४२	1742年
१८३०	1830年
१६६३	1663年
१८३१	1831年
१७४३	1743年
१६६४	1664年
१६६५	1665年
१७४४	1744年
१८३२	1832年
१६६६	1666年
१७४५	1745年
१८३३	1833年
१६६७	1667年
१७४६	1746年
परिवहनम्	交通
१८३४	1834年
१६६८	1668年
१७४७	1747年
१८३५	1835年
१७४८	1748年
१८३६	1836年
१६६९	1669年
लियोनार्ड ओइलर	レオンハルト・オイラー
१६७०	1670年
१७४९	1749年
१८३७	1837年
१६७१	1671年
१७५०	1750年
१८३८	1838年
१६७२	1672年
१७५१	1751年
१८३९	1839年
१६७३	1673年
१७५२	1752年
१८४०	1840年
१६७४	1674年
१७५३	1753年
१८४१	1841年
१७५४	1754年
१६७५	1675年
१८४२	1842年
१७५५	1755年
१६७६	1676年
१६७७	1677年
१७५६	1756年
१८४४	1844年
१६७८	1678年
१७५७	1757年
१६७९	1679年
१७५८	1758年
१८४६	1846年
१६८०	1680年
१७५९	1759年
१८४७	1847年
१६८१	1681年
१७६०	1760年
१८४८	1848年
१६८२	1682年
१७६१	1761年
१८४९	1849年
१६८३	1683年
१७६२	1762年
१८५०	1850年
१६८४	1684年
१७६३	1763年
१८५१	1851年
१७६४	1764年
१६८५	1685年
१८५२	1852年
१६८६	1686年
१७६५	1765年
१८५३	1853年
१६८७	1687年
१७६६	1766年
१८५४	1854年
१६८८	1688年
१७६७	1767年
१८५५	1855年
१६८९	1689年
१७६८	1768年
१८५६	1856年
१६९०	1690年
१७६९	1769年
१६९१	1691年
१७७०	1770年
१८५८	1858年
१६९२	1692年
१७७१	1771年
१८५९	1859年
१६९३	1693年
१७७२	1772年
१८६०	1860年
१७७३	1773年
१८६१	1861年
१६९४	1694年
१६९५	1695年
१७७४	1774年
१८६२	1862年
१६९६	1696年
१७७५	1775年
१८६३	1863年
१६९७	1697年
१७७६	1776年
१८६४	1864年
१६९८	1698年
१८६५	1865年
१७७७	1777年
१६९९	1699年
१८६६	1866年
१७७८	1778年
१७७९	1779年
१८६७	1867年
१७८०	1780年
१८६८	1868年
१७८१	1781年
१८६९	1869年
जलकूर्दनक्रीडा	飛込競技
रूसी भाषा	ロシア語
१७८२	1782年
१८७०	1870年
१७८३	1783年
१८७१	1871年
व्लाडिमिर पुटिन	ウラジーミル・プーチン
१७८४	1784年
१८७२	1872年
१७८५	1785年
१८७३	1873年
१७८६	1786年
१८७४	1874年
१७८७	1787年
१८७५	1875年
१७८८	1788年
१८७६	1876年
१७८९	1789年
१८७७	1877年
१७९०	1790年
१८७८	1878年
१८७९	1879年
१७९१	1791年
रोटी	パン
१७९२	1792年
१८८०	1880年
१७९३	1793年
१८८१	1881年
विश्व संस्थानस्य शैक्षणिक, वैज्ञानिक, सांस्कृतिक संस्थानम्	国際連合教育科学文化機関
होमर सिम्प्सन	ホーマー・シンプソン
१७९४	1794年
१८८२	1882年
१७९५	1795年
१८८३	1883年
१७९६	1796年
१८८४	1884年
१७९७	1797年
१८८५	1885年
१८८६	1886年
१७९८	1798年
१८८७	1887年
१७९९	1799年
मार्ज सिम्प्सन	マージ・シンプソン
१८८८	1888年
१८८९	1889年
१८९०	1890年
१८९१	1891年
१८९२	1892年
१८९३	1893年
१८९४	1894年
१८९५	1895年
१८९६	1896年
१८९७	1897年
१८९८	1898年
चीनी भाषा	中国語
१८९९	1899年
रक्तम्	血液
अस्थिपञ्जरः	骨格
फुफ्फुसः	肺
हिमप्रपात	雪崩
भूकम्पः	地震
खानिजः	鉱物
सत्यम्	真理
मूषकम्	マウス (コンピュータ)
प्राकृतिकविज्ञानम्	自然科学
सेर्गे आइसेन्स्टाइन	セルゲイ・エイゼンシュテイン
अकिरा कुरोसावा	黒澤明
फ़्राँक्लिन रुज़वेल्ट	フランクリン・ルーズベルト
अविसेन्न	イブン・スィーナー
विन्स्टन चर्चिल	ウィンストン・チャーチル
नेल्सन् मण्डेला	ネルソン・マンデラ
मार्टिन् लूथर् किङ्ग् (ज्यू)	マーティン・ルーサー・キング・ジュニア
प्राकृतिकी आपद्	自然災害
प्लावनम्	洪水
सुनामी	津波
अग्निपर्वतः	火山
चक्रवातः	竜巻
व्याकरणम्	文法
प्रभञ्जन	熱帯低気圧
तेलुगु	テルグ語
वायुमण्डलम्	大気圏
